City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Kilembe,0.2,30.0,64.18,76,38,4.43,UG,2022-03-25 19:29:57,light rain
1,Quelimane,-17.8786,36.8883,76.57,90,1,5.5,MZ,2022-03-25 19:25:27,clear sky
2,Cape Town,-33.9258,18.4232,66.27,64,0,18.41,ZA,2022-03-25 19:30:00,clear sky
3,Nova Olinda Do Norte,-3.8881,-59.0942,85.5,68,93,3.6,BR,2022-03-25 19:30:01,overcast clouds
4,Novopokrovka,49.8425,36.5477,39.29,68,2,2.35,UA,2022-03-25 19:30:02,clear sky
5,Meulaboh,4.1363,96.1285,77.76,86,48,2.1,ID,2022-03-25 19:30:03,light rain
6,Ahipara,-35.1667,173.1667,66.65,76,65,10.54,NZ,2022-03-25 19:30:04,broken clouds
7,Kruisfontein,-34.0033,24.7314,58.89,80,63,4.76,ZA,2022-03-25 19:30:05,broken clouds
8,Tiksi,71.6872,128.8694,-10.39,100,90,4.56,RU,2022-03-25 19:30:07,overcast clouds
9,Bluff,-46.6,168.3333,59.29,80,100,15.1,NZ,2022-03-25 19:30:08,overcast clouds
10,Ushuaia,-54.8,-68.3,58.66,47,40,16.11,AR,2022-03-25 19:29:21,scattered clouds
11,Qaanaaq,77.484,-69.3632,-2.45,73,86,6.85,GL,2022-03-25 19:29:00,overcast clouds
12,Castro,-24.7911,-50.0119,65.19,99,100,3.11,BR,2022-03-25 19:30:09,moderate rain
13,Lambarene,-0.7001,10.2406,78.22,91,99,3.56,GA,2022-03-25 19:30:10,light rain
14,Punta Arenas,-53.15,-70.9167,60.91,48,75,21.85,CL,2022-03-25 19:28:39,light rain
15,Barrow,71.2906,-156.7887,-2.18,78,100,18.41,US,2022-03-25 19:30:13,haze
16,Puerto Ayora,-0.7393,-90.3518,87.76,75,71,7.16,EC,2022-03-25 19:28:22,light rain
17,Tilichiki,60.4667,166.1,13.14,88,100,6.58,RU,2022-03-25 19:30:14,overcast clouds
18,Douglas,41.3,-96.167,54.61,32,0,28.77,US,2022-03-25 19:26:46,clear sky
19,Atuona,-9.8,-139.0333,79.36,79,40,21.05,PF,2022-03-25 19:30:15,scattered clouds
20,Puerto Carreno,6.189,-67.4859,94.98,43,40,12.66,CO,2022-03-25 19:30:10,scattered clouds
21,Zhireken,52.8249,117.3076,19.08,97,100,4.12,RU,2022-03-25 19:30:16,light snow
22,Grindavik,63.8424,-22.4338,42.75,100,100,34.52,IS,2022-03-25 19:30:16,light intensity drizzle
23,Ust-Ishim,57.6935,71.1665,17.38,87,100,12.46,RU,2022-03-25 19:30:17,overcast clouds
24,Parsabad,39.6482,47.9174,43.54,80,9,6.93,IR,2022-03-25 19:30:17,clear sky
25,Cidreira,-30.1811,-50.2056,74.07,57,29,8.1,BR,2022-03-25 19:30:18,scattered clouds
26,Hobart,-42.8794,147.3294,52.05,93,0,2.3,AU,2022-03-25 19:30:02,clear sky
27,Hermanus,-34.4187,19.2345,60.8,70,78,15.14,ZA,2022-03-25 19:30:19,broken clouds
28,Xining,36.6167,101.7667,30.6,67,100,1.59,CN,2022-03-25 19:30:19,overcast clouds
29,Cherskiy,68.75,161.3,-14.76,100,87,9.31,RU,2022-03-25 19:30:20,overcast clouds
30,Shar,49.5886,81.0453,17.38,87,10,11.43,KZ,2022-03-25 19:30:20,clear sky
31,New Norfolk,-42.7826,147.0587,51.71,85,6,2.62,AU,2022-03-25 19:30:21,clear sky
32,Nongstoin,25.5167,91.2667,60.04,83,22,6.06,IN,2022-03-25 19:30:21,few clouds
33,Busselton,-33.65,115.3333,67.26,78,100,6.26,AU,2022-03-25 19:30:22,overcast clouds
34,Batemans Bay,-35.7167,150.1833,62.1,87,60,5.06,AU,2022-03-25 19:30:13,broken clouds
35,Henties Bay,-22.116,14.2845,63.16,85,68,6.38,NA,2022-03-25 19:30:24,broken clouds
