City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Quelimane,MZ,76.57,clear sky,-17.8786,36.8883,Hotel Flamingo
3,Nova Olinda Do Norte,BR,85.5,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
5,Meulaboh,ID,77.76,light rain,4.1363,96.1285,Kost Pria
13,Lambarene,GA,78.22,light rain,-0.7001,10.2406,Le Refuge
16,Puerto Ayora,EC,87.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Atuona,PF,79.36,scattered clouds,-9.8,-139.0333,Villa Enata
20,Puerto Carreno,CO,94.98,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
38,Takoradi,GH,82.53,overcast clouds,4.8845,-1.7554,Raybow International Hotel
41,Rikitea,PF,79.57,overcast clouds,-23.1203,-134.9692,People ThankYou
46,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
48,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
50,Bacolod,PH,78.84,clear sky,10.6667,122.95,Planta Hotel & Residences
54,Victoria,HK,78.94,scattered clouds,22.2855,114.1577,Mini Hotel Central
55,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
56,Miami,US,78.03,broken clouds,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
58,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
62,Padang,ID,76.42,few clouds,-0.9492,100.3543,Mercure Padang
65,Puerto Quijarro,BO,83.89,broken clouds,-17.7833,-57.7667,Hotel palance
66,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
69,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
82,Sulangan,PH,81.55,scattered clouds,11.1373,123.7228,Maia's Beach Resort
87,Cabo San Lucas,MX,83.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
90,Butaritari,KI,79.92,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
93,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN
95,Kapaa,US,77.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
96,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
97,Palasa,IN,76.77,scattered clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
98,Tecolutla,MX,84.06,scattered clouds,20.4833,-97.0167,Hotel Plaza Marsol
101,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
107,Chilchota,MX,83.52,clear sky,19.85,-102.1333,Hotel Balneario Los delfines
108,Kavieng,PG,80.67,light rain,-2.5744,150.7967,Nusa Island Retreat
113,Gizo,SB,82.38,light rain,-8.103,156.8419,Imagination Island
115,Sirohi,IN,78.85,clear sky,24.8833,72.8667,Dheeraj Kumar
117,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
122,Sarangani,PH,81.5,overcast clouds,5.4033,125.4636,Ballistic Islet
123,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
126,Banjar,ID,77.77,scattered clouds,-8.19,114.9675,The Hamsa Resort
127,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
128,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
132,Edeia,BR,79.45,moderate rain,-17.3383,-49.9314,Hotel Imperial Edeia
136,Kangayam,IN,79.9,clear sky,11.0,77.5667,Sri Selvi Lodge
139,Eirunepe,BR,79.66,overcast clouds,-6.6603,-69.8736,Atrás de você
141,Boa Vista,BR,93.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
144,Kirakira,SB,79.75,broken clouds,-10.4544,161.9205,SanBiz Lodge
151,Bilma,NE,76.96,clear sky,18.6853,12.9164,Expeditions Ténére voyages
155,San Patricio,US,93.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
158,Hithadhoo,MV,83.37,few clouds,-0.6,73.0833,Scoop Guest House
159,Robertsport,LR,80.06,light rain,6.7533,-11.3686,Kwepunha Retreat
166,Cam Ranh,VN,78.76,clear sky,11.9214,109.1591,OYO 598 Peony Hotel
167,Hilo,US,78.53,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
168,Niltepec,MX,86.2,overcast clouds,16.5667,-94.6167,Hotel Palma Real
171,Etchoropo,MX,82.26,broken clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
